MAPPING;DEN;DIST;PARETO;MEAN_PARETO;MAX_PARETO;MIN_PARETO;STEP;
[[4, 20, 5, 1, 7, 18, 17]];24827.0;11719.0;1;1;1;1;0;
[[24, 10, 14, 20, 7, 3, 27]];24216.0;12297.0;1;1;1;1;0;
[[23, 5, 15, 10, 1, 26, 7]];25491.0;11491.0;1;1;1;1;0;
[[5, 1, 14, 2, 7, 13, 6]];23979.0;13505.0;1;1;1;1;0;
[[9, 22, 2, 27, 3, 14, 20]];25187.0;11495.0;1;1;1;1;0;
[[26, 15, 22, 4, 9, 11, 8]];25950.0;10491.0;1;1;1;1;0;
[[23, 5, 14, 20, 7, 3, 27]];24618.0;13239.0;0;0;0;0;1;
[[29, 17, 5, 2, 7, 10, 3]];26966.0;12011.0;0;0;0;0;1;
[[16, 17, 5, 3, 7, 10, 20]];24686.0;12769.0;0;0;0;0;1;
[[23, 5, 3, 9, 1, 4, 0]];27524.0;8264.0;0;0;0;0;1;
[[27, 15, 22, 2, 7, 18, 29]];24236.0;13512.0;0;0;0;0;1;
[[21, 22, 1, 20, 7, 10, 0]];26967.0;11882.0;0;0;0;0;1;
[[20, 4, 8, 5, 0, 26, 7]];27396.0;11717.0;0;0;0;0;1;
